周期预测值,非周期预测值,预测值
31.332208968215113,-2.6370941282765608,28.69511483993855
41.48139649690798,-4.164557228025907,37.31683926888208
43.31387404741292,0.7455482104148083,44.05942225782773
41.48139649690798,-1.7611366307990597,39.720259866108925
31.619497610627732,-5.383065932821933,26.2364316778058
24.805327153066195,-8.996669183357692,15.808657969708502
24.842217658586407,-7.960114420474435,16.882103238111974
25.352123298125303,-5.159370400925215,20.192752897200087
29.46710096453593,-0.652793266175076,28.814307698360853
40.06662640241097,4.30142422606644,44.368050628477405
45.352431612259444,2.671174787301582,48.023606399561025
45.0884464555497,0.939243173654504,46.027689629204204
44.72972901982274,-0.928447565360553,43.80128145446219
41.893532791118105,6.644914691243054,48.53844748236116
32.2130460184797,-0.652793266175076,31.560252752304624
26.39658101533704,0.7568568353951696,27.15343785073221
25.618947705687134,-4.803775394123638,20.815172311563497
24.87708171850993,-7.6841936395392185,17.19288807897071
25.136283511140153,-8.087901063207507,17.048382447932646
26.133797615578956,-5.233875889579477,20.89992172599948
39.74647939622199,-8.37042964066199,31.376049755560004
45.2860970710898,-0.06358804662933384,45.222509024460464
45.57434171314415,0.7358430021232035,46.310184715267354
45.128239323398596,-3.8520108680704994,41.276228455328095
44.76624759360782,-1.0678230664339279,43.69842452717389
35.89177855711923,6.470602658402507,42.36238121552174
27.26367487826941,-4.584097190886097,22.67957768738331
26.619111447616316,-4.41738492000064,22.201726527615676
25.858792499534147,-5.588947418765157,20.269845080768988
24.790263778914547,-5.707752226873181,19.082511552041368
24.88890443123024,-8.319829760418902,16.56907467081134
31.82510327078506,-7.2551917523593,24.569911518425762
44.33234973947511,-9.45640768039593,34.87594205907918
45.2860970710898,0.2907070492757075,45.57680412036551
45.57434171314415,-0.31766963990166025,45.25667207324249
45.12122339766598,-5.5878611550808674,39.53336224258511
40.25358523546253,-0.789072064287178,39.464513171175355
26.80164431686186,-6.859771543155354,19.941872773706507
27.26367487826941,8.370852725168941,35.63452760343835
26.619111447616316,-2.5931650661340133,24.025946381482303
25.858792499534147,-7.271206334311932,18.587586165222213
24.958995992758492,-1.2956654362028956,23.663330556555596
29.402684982815586,-7.262784021221651,22.139900961593934
41.15466855165236,-8.231447047877207,32.92322150377515
44.33234973947511,-9.542030959176284,34.79031878029883
45.2860970710898,1.4232470709146952,46.7093441420045
45.57434171314415,1.9997074910895734,47.574049204233724
43.66784344964107,-8.962572948473998,34.70527050116707
35.29591017084398,-0.789072064287178,34.506838106556806
30.35083285596539,-1.298247241915472,29.052585614049917
27.26367487826941,8.370852725168941,35.63452760343835
26.619111447616316,-3.4673920862630228,23.151719361353294
26.08541616303876,-4.450755856098188,21.634660306940575
24.958995992758492,-9.037253128151676,15.921742864606816
24.74613125285212,-6.945318827411223,17.800812425440895
31.73024563538492,-6.836013346294125,24.894232289090795
41.52384374539975,-9.16803832046693,32.355805424932825
45.402391189586126,-1.7085723495622627,43.693818840023866
45.57434171314415,-7.721254873853558,37.85308683929059
45.08622647753754,-5.345776789615469,39.740449687922066
41.85701421733304,-2.5674063777398732,39.28960783959317
33.18262522034117,-6.994088167798242,26.18853705254293
27.224263089134,-2.7837531116300966,24.4405099775039
26.619111447616316,-3.504775330894108,23.114336116722207
26.08541616303876,-0.5471771612692642,25.538239001769497
24.958995992758492,-7.158939392965181,17.80005659979331
24.840583988178828,-6.849312483271279,17.991271504907548
